contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260116C00005000,2025-07-21 13:30:02+00:00,5.0,206.6,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00010000,2025-07-29 13:49:42+00:00,10.0,202.87,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00015000,2025-07-01 14:33:57+00:00,15.0,194.91,190.95,195.0,0.0,0.0,12,18,3.3637711218261717,True,REGULAR,USD
AAPL260116C00020000,2025-05-08 14:28:13+00:00,20.0,175.68,182.85,186.0,0.0,0.0,1,10,2.084965725097656,True,REGULAR,USD
AAPL260116C00025000,2025-06-16 16:20:30+00:00,25.0,172.95,184.55,187.15,0.0,0.0,1,14,2.9873072192382812,True,REGULAR,USD
AAPL260116C00030000,2025-07-25 14:00:41+00:00,30.0,184.55,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00035000,2025-05-19 13:56:23+00:00,35.0,171.3,161.3,164.45,0.0,0.0,1,43,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00040000,2025-05-23 13:50:17+00:00,40.0,156.75,160.1,163.55,0.0,0.0,1,29,1.2265663671875,True,REGULAR,USD
AAPL260116C00045000,2025-05-29 13:53:12+00:00,45.0,158.05,155.4,158.3,0.0,0.0,1,98,1.052739111328125,True,REGULAR,USD
AAPL260116C00050000,2025-08-01 18:28:08+00:00,50.0,154.47,0.0,0.0,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00055000,2025-05-05 19:26:45+00:00,55.0,145.89,147.95,150.35,0.0,0.0,19,321,1.1162153564453123,True,REGULAR,USD
AAPL260116C00060000,2025-08-04 16:03:15+00:00,60.0,146.05,0.0,0.0,0.0,0.0,20,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116C00065000,2025-04-11 16:24:01+00:00,65.0,133.95,149.55,151.05,0.0,0.0,2,118,1.8546149847412108,True,REGULAR,USD
AAPL260116C00070000,2025-07-01 14:32:44+00:00,70.0,141.2,138.0,140.45,0.0,0.0,4,236,1.375369334106445,True,REGULAR,USD
